"has_media","hashtags","img_urls","is_replied","is_reply_to","likes","links","parent_tweet_id","replies","reply_to_users","retweets","screen_name","text","text_html","timestamp","timestamp_epochs","tweet_id","tweet_url","user_id","username","video_url"
true,"[\"BrequeDosApps\",\"ApoioBrequeDosAppspic\"]","[\"https://pbs.twimg.com/media/Ecw4F5nXsAAjiKC.png\"]",false,false,22,"[]","",0,"[]",3,"fabiofelixdf","O #BrequeDosApps volta a acontecer em 25 de julho, em defesa dos entregadores por app. Os trabalhadores reivindicam seguro de vida, alimentação e o fornecimento de EPIs por parte das empresas que usam de sua mão de obra. Em 25/7 não peça entrega por app! #ApoioBrequeDosAppspic.twitter.com/mKx97m2G2o","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt"">O <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/BrequeDosApps?src=hash""><s>#</s><b><strong>BrequeDosApps</strong></b></a> volta a acontecer em 25 de julho, em defesa dos entregadores por app. Os trabalhadores reivindicam seguro de vida, alimentação e o fornecimento de EPIs por parte das empresas que usam de sua mão de obra. Em 25/7 não peça entrega por app! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ApoioBrequeDosApps?src=hash""><s>#</s><b>ApoioBrequeDosApps</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/mKx97m2G2o"">pic.twitter.com/mKx97m2G2o</a></p>","2020-07-12T23:47:59",1594597679,"1282461734230462473","/fabiofelixdf/status/1282461734230462473","81384580","Fábio Felix",""
false,"[\"BrequeDosAPPs\"]","[]",false,false,0,"[]","",0,"[]",0,"hmestorkccoelho","Eu sei que motoboys precisam trabalhar, mas fim de semana, o número aumenta e vira estatística, não é nem noticiado. As pessoas em suas casas e eles loucos correndo para entregar o almoço do domingo. Fiquei muito mal. #BrequeDosAPPs","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt"">Eu sei que motoboys precisam trabalhar, mas fim de semana, o número aumenta e vira estatística, não é nem noticiado. As pessoas em suas casas e eles loucos correndo para entregar o almoço do domingo. Fiquei muito mal. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/BrequeDosAPPs?src=hash""><s>#</s><b><strong>BrequeDosAPPs</strong></b></a></p>","2020-07-12T23:16:43",1594595803,"1282453865493925888","/hmestorkccoelho/status/1282453865493925888","45231680","HM Estork CCoelho",""
true,"[\"BrequeDosApps\"]","[\"https://pbs.twimg.com/media/EcwqIDyWkAEMfeA.jpg\"]",false,false,0,"[]","",0,"[]",0,"alissoncastro50","Já se prepare para o 2º #BrequeDosApps! No dia 25, não peça delivery, peça melhores condições de trabalho aos entregadores. pic.twitter.com/iCy07oOctJ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt"">Já se prepare para o 2º <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/BrequeDosApps?src=hash""><s>#</s><b><strong>BrequeDosApps</strong></b></a>! No dia 25, não peça delivery, peça melhores condições de trabalho aos entregadores. <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/iCy07oOctJ"">pic.twitter.com/iCy07oOctJ</a></p>","2020-07-12T22:46:44",1594594004,"1282446319852892160","/alissoncastro50/status/1282446319852892160","216824203","Álisson Castro",""
true,"[\"BrequeDosApps\"]","[\"https://pbs.twimg.com/media/Ecl2tCZXgAIsyEi.png\"]",true,false,116,"[]","",3,"[]",22,"psol50","Já se prepare para o 2º #BrequeDosApps! No dia 25, não peça delivery, peça melhores condições de trabalho aos entregadores. pic.twitter.com/rIb3AM38eH","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt"">Já se prepare para o 2º <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/BrequeDosApps?src=hash""><s>#</s><b><strong>BrequeDosApps</strong></b></a>! No dia 25, não peça delivery, peça melhores condições de trabalho aos entregadores. <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/rIb3AM38eH"">pic.twitter.com/rIb3AM38eH</a></p>","2020-07-12T21:00:01",1594587601,"1282419464454144008","/psol50/status/1282419464454144008","1202130601","PSOL 50",""
false,"[\"BrequeDosAPPs\"]","[]",false,true,1,"[]","1282398169951883264",0,"[{\"screen_name\":\"EmpregoeVidaBR\",\"user_id\":\"1267937023475814403\"}]",0,"beteprof29","#BrequeDosAPPs","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/BrequeDosAPPs?src=hash""><s>#</s><b><strong>BrequeDosAPPs</strong></b></a></p>","2020-07-12T19:47:18",1594583238,"1282401166316511233","/beteprof29/status/1282401166316511233","438689846","Elisabete Moreira Co",""
true,"[\"BrequeDosApps\"]","[\"https://pbs.twimg.com/media/Ecv-VUjXoAAcZI4.jpg\"]",true,false,7,"[]","",1,"[]",6,"EmpregoeVidaBR","Dia 25/07 temos #BrequeDosApps, vamos compartilhar a informação, o Brasil inteiro tem que saber que os trabalhadorxs de aplicativo estão organizando a luta!! pic.twitter.com/V0zU9T0hTK","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt"">Dia 25/07 temos <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/BrequeDosApps?src=hash""><s>#</s><b><strong>BrequeDosApps</strong></b></a>, vamos compartilhar a informação, o Brasil inteiro tem que saber que os trabalhadorxs de aplicativo estão organizando a luta!! <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/V0zU9T0hTK"">pic.twitter.com/V0zU9T0hTK</a></p>","2020-07-12T19:35:24",1594582524,"1282398169951883264","/EmpregoeVidaBR/status/1282398169951883264","1267937023475814403","Emprego e Vida Dignos",""
true,"[\"brequedosapp\",\"BrequeDosApps\",\"apoiobrequedosappspic\"]","[\"https://pbs.twimg.com/media/EcvpaHiXYAARPb1.jpg\"]",false,false,1,"[]","",0,"[]",0,"EmpregoeVidaBR","#brequedosapp
#BrequeDosApps
#apoiobrequedosappspic.twitter.com/GM8sMO6iej","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/brequedosapp?src=hash""><s>#</s><b>brequedosapp</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/BrequeDosApps?src=hash""><s>#</s><b><strong>BrequeDosApps</strong></b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/apoiobrequedosapps?src=hash""><s>#</s><b>apoiobrequedosapps</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/GM8sMO6iej"">pic.twitter.com/GM8sMO6iej</a></p>","2020-07-12T18:03:58",1594577038,"1282375162080485377","/EmpregoeVidaBR/status/1282375162080485377","1267937023475814403","Emprego e Vida Dignos",""
false,"[\"BrequeDosAPPs\",\"Aguerracontinua\"]","[]",false,false,13,"[]","",0,"[]",5,"maxmacieldf","Dia 25/07 tem nova paralisação nacional dos #BrequeDosAPPs
#Aguerracontinua","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt"">Dia 25/07 tem nova paralisação nacional dos <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/BrequeDosAPPs?src=hash""><s>#</s><b><strong>BrequeDosAPPs</strong></b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Aguerracontinua?src=hash""><s>#</s><b>Aguerracontinua</b></a></p>","2020-07-12T15:37:45",1594568265,"1282338365778649089","/maxmacieldf/status/1282338365778649089","98786988","Max Maciel🏴🚩",""
false,"[\"BrequedosApps\"]","[]",false,false,1,"[\"http://s21.news/SoJDhFH\"]","",0,"[]",0,"sulvinteum","O podcast Nossa Ideia, produzido pelo portal Periférico, conversou com entregadores de aplicativos que paralisaram durante o #BrequedosApps e conta como e porquê a categoria está se mobilizando. Confira o episódio:  http://s21.news/SoJDhFH ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt"">O podcast Nossa Ideia, produzido pelo portal Periférico, conversou com entregadores de aplicativos que paralisaram durante o <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/BrequedosApps?src=hash""><s>#</s><b><strong>BrequedosApps</strong></b></a> e conta como e porquê a categoria está se mobilizando. Confira o episódio:  <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""http://s21.news/SoJDhFH"" dir=""ltr"" href=""https://t.co/u6de0NBxXd"" rel=""nofollow noopener"" target=""_blank"" title=""http://s21.news/SoJDhFH""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">s21.news/SoJDhFH</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>","2020-07-12T14:31:00",1594564260,"1282321565473013760","/sulvinteum/status/1282321565473013760","140810916","Sul21",""
false,"[\"brequedosapps\"]","[]",false,false,3,"[]","",0,"[]",0,"SuelitonLima","Conversando com uns motoca aqui de Ferraz ontem. Triste. Eles defendem mesmo os apps. Além de não terem aderido ao #brequedosapps ainda criticaram as pautas. Nem sequer conhecem o @galodeluta . Tão moscando.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt"">Conversando com uns motoca aqui de Ferraz ontem. Triste. Eles defendem mesmo os apps. Além de não terem aderido ao <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/brequedosapps?src=hash""><s>#</s><b><strong>brequedosapps</strong></b></a> ainda criticaram as pautas. Nem sequer conhecem o <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""3335748125"" dir=""ltr"" href=""/galodeluta""><s>@</s><b>galodeluta</b></a> . Tão moscando.</p>","2020-07-12T11:42:35",1594554155,"1282279183834652672","/SuelitonLima/status/1282279183834652672","85309164","Sueliton Lima 📷",""
